customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure,age,address,postcode,state,property_valuation,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11.0,64.0,060 Morning Avenue,2016.0,NSW,10.0,2017-12-23,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2005-05-10
1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11.0,64.0,060 Morning Avenue,2016.0,NSW,10.0,2017-04-06,True,Approved,Solex,Standard,medium,medium,1577.53,826.51,2008-03-19
1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11.0,64.0,060 Morning Avenue,2016.0,NSW,10.0,2017-05-11,True,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2003-07-21
1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11.0,64.0,060 Morning Avenue,2016.0,NSW,10.0,2017-01-05,False,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2003-09-09
1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11.0,64.0,060 Morning Avenue,2016.0,NSW,10.0,2017-02-21,False,Approved,Solex,Standard,medium,medium,71.49,53.62,2005-08-09
1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11.0,64.0,060 Morning Avenue,2016.0,NSW,10.0,2017-05-19,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1991-11-10
1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11.0,64.0,060 Morning Avenue,2016.0,NSW,10.0,2017-03-27,False,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,1991-08-05
1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11.0,64.0,060 Morning Avenue,2016.0,NSW,10.0,2017-12-14,True,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,2002-03-22
1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11.0,64.0,060 Morning Avenue,2016.0,NSW,10.0,2017-06-04,True,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2011-03-16
1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11.0,64.0,060 Morning Avenue,2016.0,NSW,10.0,2017-12-09,True,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,2003-08-05
1,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,Yes,11.0,64.0,060 Morning Avenue,2016.0,NSW,10.0,2017-03-29,True,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,1996-11-09
2,Eli,Bockman,Male,81,Administrative Officer,Financial Services,Mass Customer,Yes,16.0,37.0,6 Meadow Vale Court,2153.0,NSW,10.0,2017-05-04,True,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2011-08-29
